Data;1466 - Índice volume de vendas no varejo (2003=100) - Total - Rio Grande do Norte - Índice
01/2000;46,71
02/2000;45,52
03/2000;46,40
04/2000;45,03
05/2000;47,15
06/2000;47,17
07/2000;46,92
08/2000;46,93
09/2000;47,15
10/2000;45,68
11/2000;48,48
12/2000;66,83
01/2001;45,87
02/2001;42,08
03/2001;46,78
04/2001;45,18
05/2001;46,98
06/2001;45,92
07/2001;48,04
08/2001;48,63
09/2001;47,48
10/2001;47,85
11/2001;48,10
12/2001;67,15
01/2002;46,48
02/2002;43,63
03/2002;47,52
04/2002;46,30
05/2002;49,29
06/2002;46,75
07/2002;50,06
08/2002;51,79
09/2002;47,75
10/2002;51,13
11/2002;46,57
12/2002;61,87
01/2003;43,79
02/2003;40,87
03/2003;40,16
04/2003;40,48
05/2003;42,68
06/2003;42,16
07/2003;45,52
08/2003;45,52
09/2003;42,34
10/2003;45,51
11/2003;46,07
12/2003;65,43
01/2004;43,68
02/2004;41,71
03/2004;47,09
04/2004;47,10
05/2004;49,25
06/2004;47,82
07/2004;51,95
08/2004;51,46
09/2004;49,18
10/2004;51,40
11/2004;50,85
12/2004;73,42
01/2005;51,88
02/2005;50,92
03/2005;56,48
04/2005;56,14
05/2005;58,45
06/2005;60,54
07/2005;62,91
08/2005;63,67
09/2005;61,47
10/2005;63,53
11/2005;66,23
12/2005;95,40
01/2006;66,27
02/2006;57,32
03/2006;63,50
04/2006;63,40
05/2006;67,53
06/2006;64,88
07/2006;68,15
08/2006;71,23
09/2006;68,96
10/2006;66,66
11/2006;68,74
12/2006;92,56
01/2007;66,13
02/2007;58,21
03/2007;69,30
04/2007;64,11
05/2007;72,07
06/2007;72,36
07/2007;74,15
08/2007;76,92
09/2007;73,74
10/2007;74,10
11/2007;78,57
12/2007;106,88
01/2008;78,44
02/2008;70,71
03/2008;79,00
04/2008;76,58
05/2008;83,24
06/2008;78,29
07/2008;80,96
08/2008;83,22
09/2008;79,53
10/2008;82,39
11/2008;81,01
12/2008;110,59
01/2009;82,14
02/2009;72,06
03/2009;79,74
04/2009;79,62
05/2009;86,48
06/2009;81,19
07/2009;83,51
08/2009;86,67
09/2009;83,14
10/2009;87,31
11/2009;84,55
12/2009;118,67
01/2010;87,99
02/2010;80,12
03/2010;94,64
04/2010;86,45
05/2010;92,28
06/2010;86,55
07/2010;93,93
08/2010;93,03
09/2010;90,62
10/2010;97,46
11/2010;91,20
12/2010;126,74
01/2011;97,01
02/2011;90,97
03/2011;93,93
04/2011;95,35
05/2011;97,79
06/2011;93,74
07/2011;100,42
08/2011;102,52
09/2011;95,51
10/2011;98,69
11/2011;98,56
12/2011;135,51
01/2012;95,89
02/2012;96,19
03/2012;102,62
04/2012;96,24
05/2012;104,83
06/2012;104,80
07/2012;107,17
08/2012;109,38
09/2012;106,06
10/2012;107,30
11/2012;110,14
12/2012;143,03
01/2013;109,40
02/2013;99,87
03/2013;113,57
04/2013;107,37
05/2013;116,63
06/2013;109,31
07/2013;119,43
08/2013;123,24
09/2013;115,20
10/2013;118,42
11/2013;119,00
12/2013;151,80
01/2014;116,90
02/2014;109,90
03/2014;112,80
04/2014;113,10
05/2014;123,10
06/2014;111,40
07/2014;119,00
08/2014;122,30
09/2014;117,30
10/2014;121,30
11/2014;126,10
12/2014;155,10
01/2015;119,90
02/2015;107,00
03/2015;116,30
04/2015;111,00
05/2015;117,10
06/2015;110,20
07/2015;116,20
08/2015;114,80
09/2015;108,50
10/2015;114,90
11/2015;115,50
12/2015;141,50
01/2016;107,40
02/2016;98,10
03/2016;105,80
04/2016;102,00
05/2016;103,60
06/2016;99,50
07/2016;104,70
08/2016;102,30
09/2016;97,90
Fonte;IBGE
